affiliation	Number	lat	long	country			
Aurum Press Limited	2			
Editorial Seleer	1			
Unam	3	19.3188895	-99.1843676	Mexico
Ediciones Akal	8	19.3288368	-99.1659395	Mexico
American Soc Plant Taxonomists	2			
Times Supplements Limited	11			
Chartered Inst Water Environmental Management	1			
Random House	15	40.76521	-73.982502	United States
Internet Gesellschaft Collaboratory	1			
Ieeeinst Electrical Electronics Engineers	10	40.5410566	-74.4697812	United States
Conseil National Du Numérique	1			
Temple University Dept Spanish Portuguese	1			
University Tarapaca	1			
Ios Press	5	38.828489	-77.290865	United States
El Colegio De Mexico Ac	2			
American Criminal Law Review	1			
Brill Nijhoff	1			
Brill Academic Publ	30	42.35729	-71.05528	United States
Gestalten	1			
Peter Lang Pub Incorporated	3	40.70616	-74.013708	United States
Lawrence Erlbaum Assoc Publ	1			
Acad American Franciscan Hist	6	37.8771708	-122.2608427	United States
Organ American Historians	8			
Pontificia University Catolica Chile Centro Estud Lit Chilena	1			
George Washington University	8	38.8997145	-77.0485992	United States
University Alberta	1			
Vervuert Verlag	2			
Editum	1			
Groveatlantic	1			
University Nacional Del Centro De La Provincia De Buenos Aires	1			
Latvia University Agriculture	1	56.65536	23.7331707	Latvia
Arnold Hodder Headline Plc	1			
Queens Quarterly	1			
Springer Heidelberg	6	49.424617	8.656530499999999	Germany
Rowman Littlefield	7	40.736902	-73.98919099999999	United States
Studies Latin American Popular Culture	1			
Motorbooks International	4	44.9812735	-93.27326889999999	United States
Inst Economic Researchpoland	1			
Millennium Publ Group	2	17.385044	78.486671	India
University Politèc De Catalunya	1			
Apollo Magazine	1			
European Society For Engineering Education Sefi	3			
New Directions Publ	2			
Jai Press	3	25.6125	85.1283333	India
Southern Historical Assoc	22	33.9534116	-83.37343469999999	United States
Maik Naukainterperiodicaspringer	9			
University Federal Santa Catarina Nucleo Traducao	1			
Berghahn Books	31	40.7042522	-73.9867565	United States
Museum of Fine Arts Houston	1			
Studienverlag Gesmbh	4	47.26585799999999	11.3957287	Austria
Springer Netherlands	9	51.8108893	4.6656413	Netherlands
University De Cantabria	4	43.471405	-3.804062	Spain
History Today	1			
Elsevier Gmbh Urban Fischer Verlag	2			
Reimage Publ	1			
Lexington Books	1			
Associated University Presse	1			
New York University Press	5	40.7336626	-73.9907953	United States
Catarata	1			
American Economic Assoc	5	40.4299126	-79.96977679999999	United States
Weider Hist Grp	2	39.0809433	-77.5559585	United States
Silesian University Opava Inst Foreign Languages	1			
American Library Assoc	1			
Assn Educ Journalism Mass Communication	2	33.49957	-90.344877	United States
Medimond S R L	1			
American Geophysical Union	23	38.9147	-77.0453437	United States
Macmillan	6	40.7409928	-73.98965869999999	United States
Simon Fraser University Int History Review	11	49.2780937	-122.9198833	Canada
Competition Policy Int	1			
Soc Motion Picture Tv Eng	1			
Hudson Institute	2			
Int Assoc Plant Taxonomy	1			
Wiley Periodicals	1			
Cogitatio Press	2			
Wallflower Press	1			
Edinburgh Critical Studies In Atlantic Literatures And Cultu	1			
Die Gestalten Verlagdgv	1			
Austrian Academy of Sciences	1			
Istituti Editoriali E Polgrafici Internazionali	1			
Mary Ann Liebert	2			
University of Georgia	5	33.9480053	-83.3773221	United States
Catholic University of America Press	1			
University De Alicante	1			
Unm Press	2			
Tsinghua University Press	1			
American Planning Assoc	2	41.8859674	-87.6235552	United States
Grupo Planeta Gbs	3			
Lawbook Exchange Limited	1			
Bloomsbury Publ	5	40.6543524	-75.08655770000001	United States
Editorial Mundo Hispano	2			
Bibliographical Soc American	2			
Penguin Uk	6	51.5430102	-0.0068461	United Kingdom
Edward Elgar Publ	21	42.3142334	-72.63285189999999	United States
Seta	1			
Odense University Press	4	55.369277	10.429544	Denmark
Berg Publ	5	44.4587839	-93.1574401	United States
University Los Andes Fac Ciencias Soc	1			
University Calif	1			
