Source	Target	Label
u98358	u97912	COLLABORATES
u98007	u97556	COLLABORATES
u97775	u97776	COLLABORATES
u94349	u94348	COLLABORATES
u97774	u97673	COLLABORATES
u88980	u88979	COLLABORATES
u97609	u97912	COLLABORATES
u73193	u73190	COLLABORATES
u97561	u97559	COLLABORATES
u84540	u84539	COLLABORATES
u98006	u97672	COLLABORATES
u98265	u97968	COLLABORATES
u91223	u91222	COLLABORATES
u45	u44	COLLABORATES
u97913	u97836	COLLABORATES
u97640	u108601	COLLABORATES
u96396	u96395	COLLABORATES
u30826	u30825	COLLABORATES
u55	u54	COLLABORATES
u15182	u15181	COLLABORATES
u98203	u98725	COLLABORATES
u97776	u143829	COLLABORATES
u74551	u74549	COLLABORATES
u98006	u97775	COLLABORATES
u95281	u90638	COLLABORATES
u534	u533	COLLABORATES
u99382	u97556	COLLABORATES
u73889	u73888	COLLABORATES
u449	u448	COLLABORATES
u951	u950	COLLABORATES
u91060	u91059	COLLABORATES
u97674	u97968	COLLABORATES
u79907	u79906	COLLABORATES
u90827	u90826	COLLABORATES
u99724	u97836	COLLABORATES
u98007	u97836	COLLABORATES
u97610	u97912	COLLABORATES
u97913	u98265	COLLABORATES
u96246	u96245	COLLABORATES
u88973	u88972	COLLABORATES
u97554	u99724	COLLABORATES
u98263	u97868	COLLABORATES
u235	u232	COLLABORATES
u97608	u100410	COLLABORATES
u97611	u98125	COLLABORATES
u97672	u59405	COLLABORATES
u79909	u79907	COLLABORATES
u1183	u1182	COLLABORATES
u78505	u78503	COLLABORATES
u97672	u97912	COLLABORATES
u43015	u14872	COLLABORATES
u97611	u97552	COLLABORATES
u94343	u94337	COLLABORATES
u97556	u97555	COLLABORATES
u98263	u97638	COLLABORATES
u23668	u23665	COLLABORATES
u97674	u98726	COLLABORATES
u97913	u104104	COLLABORATES
u86666	u86665	COLLABORATES
u23665	u23664	COLLABORATES
u97557	u97608	COLLABORATES
u749	u94343	COLLABORATES
u25031	u25029	COLLABORATES
u97059	u97058	COLLABORATES
u91159	u91158	COLLABORATES
u88975	u88973	COLLABORATES
u97776	u99165	COLLABORATES
u98725	u97610	COLLABORATES
u98726	u143828	COLLABORATES
u131	u130	COLLABORATES
