publisher	country	Number
Routledge Taylor Francis Group	United States	1068
Cambridge University Press	United States	456
Oxford University Press	United States	327
Palgrave Macmillan	United States	182
Sage Publ	United States	160
Wiley - Blackwell Publ	United States	160
Ashgate Publ	United States	141
Johns Hopkins University Press	United States	100
Duke University Press	United States	87
University Chicago Press	United States	71
Organization American Historians	United States	62
Springer	United States	56
Edinburgh University Press	United Kingdom	55
Nova Science Publ	United States	54
Indiana University Press	United States	40
Mit Press	United States	38
American Historical Review	United States	36
Pergamon Elsevier Science	United States	33
Berghahn Books	United States	31
Brill Academic Publ	United States	30
Liverpool University Press	United Kingdom	29
Inst Early American Hist Cult	United States	28
Taylor Francis	United States	28
University North Carolina Press	United States	28
University Toronto Press	Canada	28
Wiley	United States	27
University of Pennsylvania Press	United States	26
Elsevier Science Bv	United States	25
Elsevier	United States	25
Mcgraw Hill	United States	24
Yale University Press	United States	24
American Geophysical Union	United States	23
Southern Historical Assoc	United States	22
Princeton University Press	United States	22
Edward Elgar Publ	United States	21
Counc Foreign Relat	United States	21
Maney Publ	United States	20
University of New Hampshire Press	United States	19
University of Georgia Press	United States	18
Springer International Publ	United States	18
John Wiley And Sons	United States	18
University of North Carolina Press	United States	17
Intellect	United States	17
Public Library Science	United States	17
Ieee	United States	17
Kluwer Academic Publ	United States	16
Elsevier Sci	United States	16
Nature Publ Group	United States	15
Random House	United States	15
Harper Collins	United States	15
University California Press	United States	14
Kluwer Law International	United States	14
University Press of Virginia	United States	14
Canadian Inst Int Affairs	Canada	14
University Pennsylvania Press	United States	14
Brookings Institution Press	United States	13
Penn State University Press	United States	13
Simon And Schuster	United States	13
Brill	United States	13
Mcgillqueens University Press	Canada	13
University of Toronto Press	Canada	13
University Illinois Press	United States	13
University of Virginia Press	United States	12
Oxford University Press Usa	United States	12
Peter Lang Ag	United States	12
Royal Soc	Canada	12
University of Chicago Press	United States	12
University Press of Mississippi	United States	12
Manchester University Press	United Kingdom	12
Vintage	United States	12
Times Supplements Limited	United States	11
Frank Cass Co	United States	11
Academic Press	Canada	11
Penguin	United States	11
Ed Inst Boston University	United States	11
John Wiley Sons	United States	11
American Assoc Teachers Spanish Portuguese	United States	11
Revista De Estudios Hispanicos	United States	11
Simon Fraser University Int History Review	Canada	11
Frank Cass	United States	11
Linkgua Digital	Spain	11
M I T Press	United States	11
Walter De Gruyter Gmbh	United States	10
Historical Soc Pa	United States	10
Harvard University Press	United States	10
Ieeeinst Electrical Electronics Engineers	United States	10
Louisiana State University Press	United States	10
New England Quarterly	United States	9
Maik Naukainterperiodicaspringer	Germany	9
Siruela	Spain	9
Ohio University Press	United States	9
Springer Netherlands	Netherlands	9
European Institute	United States	9
Rutgers University Press	United States	9
University of Illinois Press	United States	9
Catholic University American Press	United States	9
New York Times	United States	8
African Studies Center	United States	8
Debolsllo	Colombia	8
Emerald Group Publ	United States	8
Times Newspapers	United States	8
Michigan State University Press	United States	8
Organ American Historians	United States	8
Cornell University Press	United States	8
George Washington University	United States	8
Houghton Mifflin Harcourt	United States	8
University of California Press	United States	8
University Press of Kentucky	United States	8
Ediciones Akal	Mexico	8
University of Iowa Press	United States	8
University North Carolina	United States	8
B De Books	Canada	8
Encounter	United States	8
Bloomsbury Publ Usa	United States	8
Macmillan Magazines	United States	8
Sudamericana	Mexico	8
Kitlv Press	Netherlands	7
